CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Card Type,Point Earned
619.0,France,Female,42,2,0.0,1,1,1,101348.9,1,2,DIAMOND,464
608.0,Spain,Female,41,1,83807.86,1,0,1,112542.6,0,3,DIAMOND,456
502.0,France,Female,42,8,159660.8,3,1,0,113931.6,1,3,DIAMOND,377
699.0,France,Female,39,1,0.0,2,0,0,93826.63,0,5,GOLD,350
850.0,Spain,Female,43,2,125510.8,1,1,1,79084.1,0,5,GOLD,425
822.0,France,Male,50,7,0.0,2,1,1,10062.8,0,2,SILVER,206
501.0,France,Male,44,4,142051.1,2,0,1,74940.5,0,3,GOLD,251
684.0,France,Male,27,2,134603.9,1,1,1,71725.73,0,3,GOLD,342
528.0,France,Male,31,6,102016.7,2,0,0,80181.12,0,3,GOLD,264
497.0,Spain,Male,24,3,0.0,2,1,0,76390.01,0,3,GOLD,249
476.0,France,Female,34,10,0.0,2,1,0,26260.98,0,3,SILVER,119
549.0,France,Female,25,5,0.0,2,0,0,190857.8,0,3,PLATINUM,549
635.0,Spain,Female,35,7,0.0,2,1,1,65951.65,0,2,GOLD,318
616.0,Germany,Male,45,3,143129.4,2,0,1,64327.26,0,5,GOLD,308
653.0,Germany,Male,58,1,132602.9,1,1,0,5097.67,1,2,SILVER,163
549.0,Spain,Female,24,9,0.0,2,1,1,14406.41,0,3,SILVER,544
587.0,Spain,Male,45,6,0.0,1,0,0,158684.8,0,3,PLATINUM,732
726.0,France,Female,24,6,0.0,2,1,1,54724.03,0,4,GOLD,477
732.0,France,Male,41,8,0.0,2,1,1,170886.2,0,3,PLATINUM,568
636.0,Spain,Female,32,8,0.0,2,1,0,138555.5,0,2,DIAMOND,336
510.0,Spain,Female,38,4,0.0,1,1,0,118913.5,1,2,DIAMOND,887
669.0,France,Male,46,3,0.0,2,0,1,8487.75,0,2,SILVER,665
846.0,France,Female,38,5,0.0,1,1,1,187616.2,0,3,PLATINUM,225
577.0,France,Male,25,3,0.0,2,0,1,124508.3,0,3,PLATINUM,659
756.0,Germany,Male,36,2,136815.6,1,1,1,170042.0,0,5,DIAMOND,236
571.0,France,Male,44,9,0.0,2,0,0,38433.35,0,4,PLATINUM,448
574.0,Germany,Female,43,3,141349.4,1,1,1,100187.4,0,5,DIAMOND,499
411.0,France,Male,29,0,59697.17,2,1,1,53483.21,0,2,GOLD,343
591.0,Spain,Female,39,3,0.0,3,1,0,140469.4,1,3,DIAMOND,298
533.0,France,Male,36,7,85311.7,1,0,1,156731.9,0,5,SILVER,628
553.0,Germany,Male,41,9,110112.5,2,0,0,81898.81,0,3,GOLD,611
520.0,Spain,Female,42,6,0.0,2,1,1,34410.55,0,2,SILVER,922
722.0,Spain,Female,29,9,0.0,2,1,1,142033.1,0,5,PLATINUM,276
475.0,France,Female,45,0,134264.0,1,1,0,27822.99,1,1,DIAMOND,877
490.0,Spain,Male,31,3,145260.2,1,0,1,114066.8,0,4,SILVER,471
804.0,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,2,GOLD,994
850.0,France,Male,36,7,0.0,1,1,1,40812.9,0,3,GOLD,944
582.0,Germany,Male,41,6,70349.48,2,0,1,178074.0,0,5,GOLD,419
472.0,Spain,Male,40,4,0.0,1,1,0,70154.22,0,4,DIAMOND,545
465.0,France,Female,51,8,122522.3,1,0,0,181297.7,1,5,SILVER,828
556.0,France,Female,61,2,117419.4,1,1,1,94153.83,0,3,PLATINUM,789
834.0,France,Female,49,2,131394.6,1,0,0,194365.8,1,2,GOLD,567
660.0,Spain,Female,61,5,155931.1,1,1,1,158338.4,0,1,PLATINUM,884
776.0,Germany,Female,32,4,109421.1,2,1,1,126517.5,0,1,SILVER,296
829.0,Germany,Female,27,9,112045.7,1,1,1,119708.2,1,3,DIAMOND,779
637.0,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,SILVER,730
550.0,Germany,Male,38,2,103391.4,1,0,1,90878.13,0,3,DIAMOND,960
776.0,Germany,Female,37,2,103769.2,2,1,0,194099.1,0,1,SILVER,268
698.0,Germany,Male,44,10,116363.4,2,1,0,198059.2,0,4,SILVER,829
585.0,Germany,Male,36,5,146051.0,2,0,0,86424.57,0,3,SILVER,665
788.0,France,Female,33,5,0.0,2,0,0,116978.2,0,3,GOLD,982
655.0,Germany,Male,41,8,125562.0,1,0,0,164040.9,1,3,SILVER,343
601.0,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2,DIAMOND,225
619.0,France,Male,43,1,125211.9,1,1,1,113410.5,0,5,SILVER,657
656.0,France,Male,45,5,127864.4,1,1,0,87107.57,0,2,PLATINUM,221
725.0,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,2,PLATINUM,406
614.0,France,Male,51,4,40685.92,1,1,1,46775.28,0,4,PLATINUM,954
742.0,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,4,GOLD,823
687.0,Germany,Female,27,9,152328.9,2,0,0,126494.8,0,5,DIAMOND,769
555.0,Spain,Male,33,1,56084.69,2,0,0,178798.1,0,5,PLATINUM,481
684.0,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,4,SILVER,903
603.0,Germany,Male,26,4,109166.4,1,1,1,92840.67,0,3,PLATINUM,882
751.0,Germany,Female,36,6,169831.5,2,1,1,27758.36,0,5,GOLD,379
581.0,Germany,Female,34,1,101633.0,1,1,0,110431.5,0,3,PLATINUM,469
735.0,Germany,Male,43,10,123180.0,2,1,1,196673.3,0,3,PLATINUM,683
661.0,Germany,Female,35,5,150725.5,2,0,1,113656.9,0,1,GOLD,770
675.0,France,Female,21,8,98373.26,1,1,0,18203.0,0,5,SILVER,985
738.0,Germany,Male,58,2,133745.4,4,1,0,28373.86,1,4,GOLD,725
813.0,France,Male,29,6,0.0,1,1,0,33953.87,0,3,PLATINUM,259
657.0,Spain,Female,37,0,163607.2,1,0,1,44203.55,0,2,GOLD,979
604.0,Germany,Female,25,5,157780.8,2,1,1,58426.81,0,2,SILVER,988
519.0,France,Male,36,9,0.0,2,0,1,145562.4,0,2,PLATINUM,833
735.0,France,Female,21,1,178718.2,2,1,0,22388.0,0,1,PLATINUM,527
664.0,France,Male,55,8,0.0,2,1,1,139161.6,0,5,SILVER,220
678.0,France,Female,32,9,0.0,1,1,1,148210.6,0,4,GOLD,983
757.0,Spain,Male,33,5,77253.22,1,0,1,194239.6,0,3,SILVER,582
416.0,Germany,Female,41,10,122189.7,2,1,0,98301.61,0,3,SILVER,281
665.0,France,Female,34,1,96645.54,2,0,0,171413.7,0,3,DIAMOND,798
777.0,France,Female,32,2,0.0,1,1,0,136458.2,1,5,SILVER,917
543.0,France,Female,36,3,0.0,2,0,0,26019.59,0,2,DIAMOND,255
506.0,France,Female,34,4,90307.62,1,1,1,159235.3,0,4,SILVER,511
493.0,France,Female,46,4,0.0,2,1,0,1907.66,0,1,SILVER,498
750.0,Spain,Male,22,3,121681.8,1,1,0,128643.4,1,2,SILVER,852
729.0,France,Male,30,9,0.0,2,1,0,151869.4,0,1,DIAMOND,807
646.0,France,Female,46,4,0.0,3,1,0,93251.42,1,3,PLATINUM,470
635.0,Germany,Female,28,3,81623.67,2,1,1,156791.4,0,1,DIAMOND,659
647.0,Spain,Female,44,5,0.0,3,1,1,174205.2,1,3,DIAMOND,752
808.0,France,Male,45,7,118626.6,2,1,0,147132.5,0,1,SILVER,559
524.0,France,Female,36,10,0.0,2,1,0,109614.6,0,2,GOLD,375
769.0,France,Male,29,8,0.0,2,1,1,172290.6,0,2,DIAMOND,411
730.0,Spain,Male,42,4,0.0,2,0,1,85982.47,0,4,DIAMOND,722
515.0,Spain,Male,35,10,176274.0,1,0,1,121277.8,0,1,GOLD,231
773.0,Spain,Male,41,9,102827.4,1,0,1,64595.25,0,5,DIAMOND,488
814.0,Germany,Male,29,8,97086.4,2,1,1,197276.1,0,2,GOLD,965
710.0,Spain,Male,22,8,0.0,2,0,0,99645.04,0,4,SILVER,289
413.0,France,Male,34,9,0.0,2,0,0,6534.18,0,1,PLATINUM,449
665.0,France,Female,40,6,0.0,1,1,1,161848.0,0,2,SILVER,651
623.0,France,Female,44,6,0.0,2,0,0,167162.4,0,2,DIAMOND,520
738.0,France,Male,31,9,82674.15,1,1,0,41970.72,0,4,DIAMOND,234
528.0,Spain,Male,36,7,0.0,2,1,0,60536.56,0,5,SILVER,458
622.0,Spain,Female,46,4,107073.3,2,1,1,30984.59,1,3,GOLD,299
582.0,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,4,GOLD,838
785.0,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,5,PLATINUM,786
